[2025-07-08 13:47:40.473887] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.475452] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.476897] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.478239] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.480155] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.482000] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.483908] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.485545] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.486749] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.605049] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.607507] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.609711] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.610619] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.611542] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.614425] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.617054] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.618864] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.621399] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.622964] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.624243] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.625183] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.626067] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.626999] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.627915] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.629239] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.631350] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.635275] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.638459] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.639337] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.640276] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.641381] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.643755] Blocked: Ether / IP / UDP 185.177.126.102:1224 > 192.168.1.38:54945 / Raw | Reason: Blocked Port 54945
[2025-07-08 13:47:40.646308] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.648769] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.650778] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.652693] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.655061] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
[2025-07-08 13:47:40.655827] Blocked: Ether / IP / UDP 192.168.1.38:54945 > 185.177.126.102:1224 / Raw | Reason: Blocked Port 1224
